,screen_name,text,place_full_name,country,lng,lat
4969,__AmirahM_,10 weeks today and im still sick of course lol,"Chicago, IL",United States,-87.732013,41.83358445
5825,__angelnicolee,IM SICK OF YOU LITTLE WHORES,"Mobile, AL",United States,-88.1615555,30.683649
3602,__ATrillNigga,Threw it back until she got back pain,"Cleveland, OH",United States,-81.7054672,41.4959395
429,__hannah_yo,You know work is bad when you get a sore throat and cross your fingers for laryngitis.,"Lincoln, NE",United States,-96.69656245,40.803235
3203,__missnrt,Get well soon! _Ÿ’ª_Ÿè_ https://t.co/UOIRsb6c9T,"Starkville, MS",United States,-88.8216885,33.456504
3369,__royalltyyy,@loyaltyfirstmel You can get sick from not sleeping for days so bye.,"Youngstown, OH",United States,-80.6395405,41.105271
4055,__royalltyyy,"I have no energy , I need to go to sleep before I get sick _Ÿ___Ÿè_â€çâ™€ï¸è","Youngstown, OH",United States,-80.6395405,41.105271
196,_16_liv,"Iâ€™m reading directions to the medicine my boyfriend been taking, it said â€œtake no more than one every 24 hoursâ€ù. Tell me why he turn to me and say â€œI just took 3â€ù IM CRYINGHFGDJDXZHDJK","Texas, USA",United States,-100.0768885,31.1688935
8683,_1Doc_,@MexicoRan And the wait is finally over let's give em sutn to be sick bout fuxks brakkn fool,"Delaware, USA",United States,-75.3864607,39.1450234
1409,_ajyat,Kick anxiety in the throat.,"Lafayette, LA",United States,-92.0611765,30.20607895
2101,_ally_chavez_,Iâ€™ve had a sore throat &amp; terrible cough for about a month now. Like itâ€™s not going away. Lowkey think Iâ€™m getting mono again. Plz help.,"Kentucky, USA",United States,-85.7682405,37.822244
5564,_andreanamarie,I wish I would pay 70$ for some damn flu medicine Foh,"Great Bend, KS",United States,-98.7763765,38.3718765
6552,_apachewarrior,@ccmurph317 It is a disease it's just them people use drugs today's disease is a damn phone,"Philadelphia, PA",United States,-75.117998,40.0048655
9452,_ayoobeans,i hope Iâ€™m not getting sick _Ÿ˜’,"Charlotte, NC",United States,-80.8467855,35.209059
41,_baileyeliz,"how can people do this to other defenseless people. iâ€™m sick to my stomach. i hope they both get exactly what they deserve....hereâ€™s a thought: if you hate elderly people, people w disabilities or donâ€™t have the patience for it- DONT FUCKING WORK IN A NURSING HOME!!! https://t.co/aEolvJGEyZ","Woodridge, IL",United States,-88.044261,41.73514575
363,_bonitamica,I would wake up in pain on the big day. _Ÿ˜’,"Rancho Calaveras, CA",United States,-120.852719,38.1258965
2593,_BossFitz,When none of the tutors in the accounting lab know how to fill 1120â€™s _Ÿ˜_ Iâ€™m sick,"Salem, MA",United States,-70.9075225,42.515052
4981,_Bria_Oliver,"Real talk ladies, if you have extremely painful periods, get the cup. You still get cramps but theyâ€™re not nearly as bad. And also, youâ€™re not spending money every month on tampons. So yay money and less pain _Ÿ˜€","Virginia, USA",United States,-79.420865,38.0033755
4266,_brookie44,We got that bad love but it tastes like medicine,"Prosperity, WV",United States,-81.203801,37.836234
3334,_c00lm0m,I feel like some 151 would kill my sore throat so I guess Iâ€™ll hit up the Toddy tomorrow,"Corpus Christi, TX",United States,-97.432425,27.737151
265,_Chynnnna,every single time I drink at tavern Iâ€™m sick the next morning,"Troy, AL",United States,-85.97446715,31.806558
122,_Cocaine_Caviar,Sore throat _Ÿ˜·,"Normal, IL",United States,-88.9915295,40.5247748
781,_ColeFleming,"My balance was off, I was 90 percent sleepy 10 percent high, now I got a headache.","Charleston, WV",United States,-81.6337049,38.347486
3134,_dejaamari_,thats why sum times i just get high aint tryna feel pain._Ÿ_·_Ÿè_â€çâ™€ï¸è,"Gadsden, AL",United States,-86.0068295,34.003125
6404,_dilloncasey_,Kacey Musgraves is playing in Dublin tonight and Iâ€™m sick Iâ€™m not there,"Rock Hill, SC",United States,-81.01477595,34.91556845
8801,_DonnaMoeller_,"FALSE SHEPHERDS â€œYou have not strengthened the weak or healed the sick or bound up the injured. You have not brought back the strays or searched for the lost. You have ruled them harshly and brutally. So they were scattered because there was no shepherd...â€ùEzekiel 34:4-6 NIV","Rolling Meadows, IL",United States,-88.028373,42.0562223
119,_DonnaMoeller_,"@Israel @TimesofIsrael @IsraelinUSA @EUinIsrael The prophecy was that Israel would be hurt the most by this. Instead of the Shekhinah, youâ€™ve been given a whore. @washingtonpost @Pontifex @BBCWorld @JTAnews @Spertus","Rolling Meadows, IL",United States,-88.028373,42.0562223
1449,_ElyseKelly,I canâ€™t shake this sore throat for nothing,"Hartford, CT",United States,-72.6809665,41.765617
822,_GoddessVibes,"When you feel the flu or a cold coming on, chew on garlic. Thank me later.","Bronx, NY",United States,-73.8494415,40.8503475
2135,_HelloJenny,Those cold and flu pills I took last night sure knocked me out.,"Palmdale, CA",United States,-118.125196,34.583629
2185,_heyysamanthaa,Also tell me how I woke up with a sore throat and my nose running. Cool _Ÿ_™_Ÿè»,"Florida, USA",United States,-83.804475,27.698682
8351,_ibriannaa,I'm hurt _Ÿ˜__Ÿ˜_ https://t.co/tiDv6ORGEj,"Columbus, OH",United States,-82.98577205,39.9946835
811,_jaylaawaylaa,"lmaooo me with oomf , soooo sick https://t.co/DFI0pI0nUi","Nashville, TN",United States,-86.791549,36.20000805
1710,_jayonce__,My throat still sore _Ÿ™„,"Princess Anne, MD",United States,-75.69234845,38.194099
