"","screen_name","text","place_full_name","country","lng","lat"
"2","Lextexmex_1126","@_andrreaaaa Get well soon","El Paso, TX","United States",-106.4174305,31.79336815
"24","itsdanidah","@alissa_ashleyy Thanks for letting us know. Get well soon","Fort Lauderdale, FL","United States",-80.14917255,26.150368
"37","fritzy4101","@JaredLeto just a little get well soon wish for ya 💕  See you this summer! Two times I might add! 😉 https://t.co/sWOCk2P6Nd","Germantown, MD","United States",-77.26434,39.1701115
"99","ij_andretti","get well soon @StephenCurry30 🥘","Queens, NY","United States",-73.8311875,40.67087955
"127","prdpsundriyal","@irrfank get well soon irfan bhai. 🙏","Hurstbourne, KY","United States",-85.5915266,38.2362824
"130","BarbaraWatley","Happy Friday...thinking of all my friends who are not feeling well today...get well soon ...May God touch and heal you from the crown of your head to the bottom of your feet in Jesus Mighty Name ❤️👏❤️ https://t.co/ML6NQeVYT4","Virginia Beach, VA","United States",-76.06994605,36.8025415
"135","books4coffee","I love writing and telling stories. I have since I was a kid. My class I'm currently taking the teacher has been so harsh that it is really taking the fun out of writing. I WILL get back i to it soon enough.  I just need to focus on this class and my own well being.","Smiths, AL","United States",-85.088417,32.524128
"145","Lgazytyjsk","""https://t.co/GknDybLbrO""
#InternationalWomensDay♀️
#SheInspiresMe♀️
💐May you get well soon and we can go back in to the fun times. Take care. 📹Don’t you worry my dear, I am praying hard for your speedy recovery. Get well soon and stay healthy.🐰 Hey @ladygaga, we love you https://t.co/aw0LDMGMPd","Portland, OR","United States",-122.63090815,45.53640175
"174","OBryanLizzy","@makenziemcneel @mia_rotella mia i’m dying😂 get well soon love💛","Nebraska, USA","United States",-99.6809025,41.5007293
"183","10rings16years","Jaylen Brown damn bear ended his career last night. That was fucking scary man. You the man @FCHWPO , get well soon!!!","Milton, MA","United States",-71.0811035,42.23916295
"218","bfranzke15","Okay so hear me out...get well soon cards but for people you hate. I call them “get worse soon” cards","Macedonia, OH","United States",-81.49715,41.3135005
"252","MangumMichael","@AlexaCappelli you was vary good singing u going make for in yours music on the show iam from bayArea too as well hopefully get back too me soon love ya 👍😊😊🎤🎤🎤🎤 https://t.co/JWRNPRkHaK","Sunrise Manor, NV","United States",-115.0611275,36.1847539
"275","ThomasCarullo","@dominantjade Get well soon Goddess.","Brooklyn, NY","United States",-73.9487755,40.655138
"318","Rudechoochook","набрали всяких лекарств от простуды на приезд в Россиюшку (в куче с вином и сидром) - упаковщик сказал ""get well soon""....","Los Angeles, CA","United States",-118.4119065,34.0207895
"352","rafalafaa","@madmadref not sure if you’ve been told yet but you are sorely missed tonight at @barwrestling. It’s almost mean what’s going on lol.

Get well soon!","Baldwin Park, CA","United States",-117.97515385,34.094001
"363","ayybayyybay","@Sheri57780329 Get well soon bitchez","Hickory, NC","United States",-81.33066,35.7292895
"370","trcyjhn","Get well soon Curry! #DubNation #LockIn","Carlsbad, NM","United States",-104.23947685,32.38790235
"383","MarieElevates","#BostonCeltics  🍀 #Brown Get well Soon Baller! #Celtics","Trenton, NJ","United States",-74.7733365,40.2161325
"384","Ocampoo96","Get well soon Champ #DubNation https://t.co/onnWgpLtLh","Edmond, OK","United States",-97.455741,35.6952221
"397","EmEmilyMak","@LetsGoWarriors Thanks God 🙏 it’s a tough night, Curry hurts, anyway, win finally 🔥💪💪 💛💙💛 @warriors @KDTrey5 @StephenCurry30 @Money23Green @KlayThompson Again, thanks God 🙏 Hope Curry get well soon.  His 30th Birthday next wed","Oakland, CA","United States",-122.2286855,37.7919941
"414","MathesonKwik","@FCHWPO Dude! 😲
That was scary.
We're all happy you can tweet.
Get well soon man.","West Valley City, UT","United States",-111.997441,40.6787035
"415","Th1nkthatimkobe","Get well Soon Jaylen Brown💯🙏🏾😇","Chicago, IL","United States",-87.732013,41.83358445
"438","jvstinwood","Atlanta made a Bojack Horseman reference tonight and my heart is full also get well soon Jaylen Brown","Austin, TX","United States",-97.75472415,30.3233457
"445","saullalaa","@nach0babymomma Get well soon 🤧🤕🤕🤡","Stockton, CA","United States",-121.3004253,37.980826
"449","LandinAndie","@mercedeszapata_ miss you today! I hope you’re feeling better and get well soon!","Chicago, IL","United States",-87.732013,41.83358445
"457","charderair","@DGB_JAIID You are very brave! Get well soon💕","Manhattan, NY","United States",-73.9685415,40.780709
"458","BrinksSandy","@Sarcasticluther Oh yuk.  Stay in bed and binge watch whatever you choose to see.  And get well soon.","North Decatur, GA","United States",-84.2864684,33.8028107
"466","MayorKingz","Jaylen Brown😳😳😳😳😳 Brave! Get well soon 💪🏾 *viewer discretion advised* https://t.co/Xvp1P6vfLB","Ballenger Creek, MD","United States",-77.4281935,39.37246775
"472","damian_mayker","Jaylen Brown my heart goes out to you get well soon","Garden Grove, CA","United States",-117.9685397,33.769045
"484","JustynVP","@heyimwobert Get well soon.","Forest Park, IL","United States",-87.81878475,41.868485
"491","hillarylake","This is gonna hurt. Bad. But all will be well when I’m someplace tropical sipping mimosas with my BFF @jrstrauss. See you soon, Helen! https://t.co/V1r0UYIRN4","Cincinnati, OH","United States",-84.5398123,39.13703785
"499","Candida71409212","@billhandelshow Bill, PPLLEEAASSEE hurry up and get better! I cannot stand listening 🙉 to Gary and Shannon ONE MORE DAY!!!! I know Wayne Resnick will agree with me! LOL Get well soon.","Dana Point, CA","United States",-117.68876935,33.4696342
"505","alexhackney","@samijwalker Well, get well soon!","Flatwoods, KY","United States",-82.7289125,38.517286
"506","a_paskowski","Get well soon @FCHWPO 🙏☘️💚","Fall River, MA","United States",-71.1486405,41.68610065
"507","Matthew_Agne","I'm a Knicks fan but I'll be praying for Jaylen Brown tonight. Hoping there's no reports of broken back or neck...good kid. Get well soon. #Celtics #NBA","New York, USA","United States",-75.770041,42.746617
"509","jocelynzayco","@JimFox19 @FoxSportsWest @LAKings @providencesocal Get well soon 👃🏼 @JimFox19","Los Angeles, CA","United States",-118.4119065,34.0207895
"529","SeanTotoe","Get well soon🙏 @FCHWPO","Manhattan, NY","United States",-73.9685415,40.780709
"535","EmEmilyMak","@TheCity73 Get well soon 🙏 next wed is your 30 th Birthday 🎂","Oakland, CA","United States",-122.2286855,37.7919941
"539","timmymr","Thank you so much @wacchi1013 get well soon #RaiseHigh https://t.co/WI1WVfbQxu","Washington, DC","United States",-77.0143985,38.89860285
"546","FBCICM","So thankful for longtime choir member Shirlee Branham! Our @FBCICM choir had the great privilege of singing with her last night during a visit at her home.  We love you Shirlee! Get well soon! We need that beautiful voice back in the alto section!
🎶 🎼 🎵❤️🙏😊
@ShagBranham https://t.co/EUplroXtcv","Kentucky, USA","United States",-85.7682405,37.822244
"556","AlexPg__","@FCHWPO get well soon bro prayers UP 🙏🏾","Bronx, NY","United States",-73.8494415,40.8503475
"558","patsullivan_21","Dam JB, 2K and Curry all in one night 😔 all get well soon🙏🏼","Beverly, MA","United States",-70.8580915,42.5662945
"573","denisdonoghue2","Boston Celtic Kyrie Irving has an intellectual depth that separates him from most NBA players. His unique ability to involve teammates and be the star is moving the Celtics towards a championship ahead of schedule 🏀🏀🏀🕊🕊
Jaylan Brown get well soon 💙💙🕊🕊🕊","Bridgewater, MA","United States",-70.96748895,41.9704095
"602","segconvocar","@celtics Get well soon buddy! 🤦🏽‍♂️🏀☘️ &lt;👁&gt;","Norfolk, VA","United States",-76.255686,36.895082
"605","dancekevindance","Get well soon @FCHWPO!! Just a minor speed bump!","Petaluma, CA","United States",-122.63336955,38.244454
"611","bkreiser_24","@FCHWPO get well soon","Pennsylvania, USA","United States",-77.604684,41.1179365
"615","poizndragn","@FCHWPO get well soon kiddo. So we can renew our Boston vc Philly rivalry. God speed","Pennsylvania, USA","United States",-77.604684,41.1179365
"618","bostonsfavson","@Mayor_Spicer was a pleasure meeting you and I’m looking to meet soon and discuss how we can get more women to participate in my #nomakeupseries which will include you too as well 🙏🏾 https://t.co/We1U4rOAUh","Cambridge, MA","United States",-71.112377,42.37819765
"621","_killaryclinton","@the_great_abyz Look i didn’t say all that. You’d did. I’m just saying if we can afford to pay it now might as well and get it over with as soon as possible.","New York, USA","United States",-75.770041,42.746617
"635","BrussoTravis","@FV360TstreeT Glad to hear. Tstreet back in the house soon. Missing your videos bro. Get well.","Snohomish, WA","United States",-122.07821735,47.9311398
