"","screen_name","text","place_full_name","country","lng","lat"
"2","sweetcoliecole","@_AlexisNacole fr and I got to that nail shop they high but damn $500 the most I’ve spent on stuff like that is almost 100 and something and I was sick off jst that little bit 😂😂😂","Fort Worth, TX","United States",-97.2859135,32.7799665
"18","NV_physician","See our latest #Winnemucca, NV #job and click to apply: Emergency Medicine - Physician - ED - https://t.co/kuVnQbUCUG #EmergencyMedicine #Hiring #CareerArc","Winnemucca, NV","United States",-117.75455115,40.950586
"41","_baileyeliz","how can people do this to other defenseless people. i’m sick to my stomach. i hope they both get exactly what they deserve....here’s a thought: if you hate elderly people, people w disabilities or don’t have the patience for it- DONT FUCKING WORK IN A NURSING HOME!!! https://t.co/aEolvJGEyZ","Woodridge, IL","United States",-88.044261,41.73514575
"57","teamsatyrboom","@Jaimelyn60 @nintendolife You have no idea. Poor training, overt focus on metrics, and unhealthy work hours, granted this all sounds like retail in general.","Alpharetta, GA","United States",-84.28019445,34.073344
"83","cortybeans","@javii_bruhh You’re so conceited Javi it makes me sick😒","California, USA","United States",-119.3066075,37.2691755
"100","MaryEllen2204","@thegracereports So will I! There is no need for him there. So sick of him and Michelle. They say she will be doing videos on food and weight 🙄","North Carolina, USA","United States",-79.86103375,35.1704985
"172","revengeseason_","the papertrail, watchdogs tour ends tonight but we still got some super sick stuff lined up! https://t.co/8pHy73u1yj","Hagerstown, MD","United States",-77.7289885,39.6344608
"181","tmj_wa_erdoc","We're #hiring! Click to apply: Family Medicine / Emergency Medicine - https://t.co/kNSfgjVI4Z #EmergencyMedicine #Colville, WA #Job #Jobs #CareerArc","Colville, WA","United States",-117.89170635,48.5430915
"183","tmj_ca_erdoc","This #job might be a great fit for you: Emergency Medicine - Physician - ED - https://t.co/9187g2Rmv7 #EmergencyMedicine #FallRiverMills, CA #Hiring #CareerArc","California, USA","United States",-119.3066075,37.2691755
"196","_16_liv","I’m reading directions to the medicine my boyfriend been taking, it said “take no more than one every 24 hours”. Tell me why he turn to me and say “I just took 3” IM CRYINGHFGDJDXZHDJK","Texas, USA","United States",-100.0768885,31.1688935
"202","MelotovRecords","@mr_mocaine @JawbreakerBand This is sick!!","Santa Clarita, CA","United States",-118.5032588,34.41563105
"210","tmj_nm_erdoc","Want to work at Envision? We're #hiring in #Lovington, NM! Click for details: https://t.co/NoBrhjXwrZ #EmergencyMedicine #Job #Jobs #CareerArc","Lovington, NM","United States",-103.35194905,32.948135
"220","tmj_ca_hsptlst","We're #hiring! Click to apply: Hospital Medicine - Hospitalist - Physician - https://t.co/7gB8PnG5zL #Hospitalist #PalmSprings, CA #Job #Jobs #CareerArc","Palm Springs, CA","United States",-116.5172894,33.8250795
"228","WY_physician","Want to work at MedHealth Recruiting? We're #hiring in WY! Click for details: https://t.co/hWyzSoQ0Pz #Physician #Job #Jobs #CareerArc","Wyoming, USA","United States",-107.554562,43.000325
"235","franciscohusse2","Starving and torturing the world sick faggot and hoes asquerose on consume","Bronx, NY","United States",-73.8494415,40.8503475
