"","screen_name","text","place_full_name","country","lng","lat"
"134","KrisNBC","New this morning: Vaccine records for 97 #California #flu victims show 42% who died were vaccinated per @CAPublicHealth data obtained overnight by @nbcbayarea h/t @SMurphyNBC https://t.co/VPp8prDuHs","San Jose, CA","United States",-121.8737305,37.331159
"217","IshwariaMD","👏@nytimes finally publishes obits of inspiring women whose death didn’t make it in print back then. 
#1 Ms Henrietta Lacks-her HeLa cell line led to tx for #hemophilia #flu #leukemia, #Parkinsons #polio vaccine, #tamoxifen &amp; #IVF👏
https://t.co/UjYZDYRWAV
#InternationalWomensDay","Houston, TX","United States",-95.4464865,29.8384948
"224","OooIHateHim","@BigBootyJudy814 That's how the cooch builds up antibodies, it's like the flu vaccine😂😂","Chicago, IL","United States",-87.732013,41.83358445
"261","bucwaas","Did the flu vaccine do anything this season or previous seasons where it was widely available compared to decades without it? Will anyone do an outcome analysis with real numbers before vaccine makers continue to get a blank check for ineffective therapy?","Sugar Land, TX","United States",-95.6316893,29.6034639
"481","503PDXTim","I’m washing down sleeping pills with cough syrup. I may have jumped the shark with this damn flu.","Portland, OR","United States",-122.63090815,45.53640175
"630","Kevin10TV","Ohio lawmaker says flu vaccine should not be mandatory for employment at hospitals. Nearly all medical groups are against it. Lawmaker says employers should not have power to fire someone who refuses. https://t.co/I8PYL3tuF5","Columbus, OH","United States",-82.98577205,39.9946835
"688","_HelloJenny","Those cold and flu pills I took last night sure knocked me out.","Palmdale, CA","United States",-118.125196,34.583629
"734","Dettmann_WBDN","Online: Ozaukee County nursing home sued over flu vaccine requirement

https://t.co/uXwUAxldCO","Wisconsin, USA","United States",-89.5694915,44.900818
"1152","DankGameAlert","I took the pop two nighttime cold and flu medicine pills and sit in the hot tub challenge 😴 https://t.co/ELOUkxyeVM","Paradise, NV","United States",-115.1351649,36.0609645
"1202","paigelayton","I have the flu &amp; can’t stop coughing but my doctor said she doesn’t feel comfortable giving a 21 year old codine... so she gave me what she called “old lady pills”...","San Diego, CA","United States",-117.10498915,32.8100122
"1270","DrPuls","3)Whether or not you want an epidural
2) Whether or not you've ever had the flu (you still need the vaccine!)
1) What variety of shea butter you put on your belly","Greeley, CO","United States",-104.735476,40.4144955
"1439","JooBilly","Flu vaccine :: The Flu
Super Soaker :: An actual gun https://t.co/yEHxWpgjra","Philadelphia, PA","United States",-75.117998,40.0048655
"1533","bcimtrash","me: gets flu vaccine and constant advocates for vaccinating children as well as adults 
also me: gets flu anyway","Manhattan, NY","United States",-73.9685415,40.780709
"1595","doritmi","@daral_harb @BeckyJohnson222 @RoyWilliams1024 @Siubhan_H @jjfox123 @Pmaxwellfnp @djt10 @what_if_007 @janem1276 @Cattlechildren @Vbalance03 @EmirSejdik @and_McDowell @HenningTveit @Rosewind2007 @BlueLionBlog @ThisMomHCN @wildweatherdan @jrtgirl35 @jpsportsminer @mal0406 @steffieschiltz @Plasticdoe @Awithonelison @ChrisJohnsonMD @carlsmythe @theMUMeffect @kidoctr @PharmaNemesis @RBuzzy1111 @jkellyca @gator91man @badzoot7 @FarmgalMom @chrisvcsefalvay @Amennaanka @dkegel @TinFoilAwards @Itsme060602 @SueQuez @EmmaGPaley @Dr_dad_of_3 @homeopathy2010 @AgnosticLiberty @ruby_menace @3worldmom @Melissa62263619 @jhewitt123 @science_guy5 @GardasilNews The flu vaccine most commonly used is not a live vaccine.","Fremont, CA","United States",-121.979527,37.5236445
"1745","misscuttinup","It’s hard for me to want to get the vaccine bc I never get the flu.. only if I’m around children because I’m allergic to kids. #AM2DM","Houston, TX","United States",-95.4464865,29.8384948
