"","screen_name","text","place_full_name","country","lng","lat"
"19","lematl_","@Whopperrr_JR You say that like Wall has done nothing in the league. Loading been hurt still think he will a good player","Atlanta, GA","United States",-84.433106,33.7671944
"23","TVBossyPants","@IsItUpOrDown I live for house meetings. They always turn into chaos and hurt feelings","Boise, ID","United States",-116.238001,43.598033
"30","zjawn","As a black woman, some things hurt more coming from another black woman because we share the same/similar struggles. So please try to give constructive not destructive criticism. Everybody else is already against us.","Pflugerville, TX","United States",-97.60701925,30.4604442
"40","_starrdavis","Thank God for real friends. Like real... brutality honest, “I don’t mean to hurt you but I love you too much to see you go out like this” type of friends!","Bronx, NY","United States",-73.8494415,40.8503475
"68","DerekGordon","This is a beautifully reported story on the failure of white evangelicals to fully understand and appreciate and actively engage on the question of enduring racism in America. And it highlights the particular pain this causes in the faithful of color. https://t.co/7khszQT81m","San Francisco, CA","United States",-122.4359785,37.7706565
"77","AngelaMMills","Dr. Chris Jones @SAEMonline regional meeting: RCT for migraine HA NS IVF bolus vs control shows no sig change in pain score @CooperEMed @KinjNS @EM_NCC @UMEmergencyMed","Baltimore, MD","United States",-76.62048175,39.284713
"78","DFSMLBWeather","@FlynnWingate @duncee15 @BaseballGuys Quality beats quantity when it comes to trades in my book. Ozuna won't be as good, who knows if Teheran is going to pan out. Will say I like Lamb a lot but will the humidor in Chase hurt his numbers some? Bryant is going to have a great year","Boalsburg, PA","United States",-77.7850045,40.777432
"119","_DonnaMoeller_","@Israel @TimesofIsrael @IsraelinUSA @EUinIsrael The prophecy was that Israel would be hurt the most by this. Instead of the Shekhinah, you’ve been given a whore. @washingtonpost @Pontifex @BBCWorld @JTAnews @Spertus","Rolling Meadows, IL","United States",-88.028373,42.0562223
"142","985_Brendon","@barbz_8513 Yep thugger hurt me","Bayou Cane, LA","United States",-90.7513285,29.6262785
"157","ChChChChito","How come friends hurt me deeper than boyfriends?","Boca Raton, FL","United States",-80.13498615,26.3739755
"229","GrindHouseBB","I AM BUILT DIFFERENT 💯. When I preach TOUGHNESS, believe you me I been thru it. Just a little history for y’all. There is a difference between hurt and injured. A lot of y’all just SOFT #GrindHouseBasketball https://t.co/Wan0Se2Jo9","Kansas City, MO","United States",-94.5592817,39.1000485
"243","5THCONSCIOUS","So I’m shoving plantain chips in my mouth and @RobbieDigital88 is like Kanye don’t even write all his music. Not gonna lie I was hurt but I accepted the hard truth","Brooklyn, NY","United States",-73.9487755,40.655138
"256","DestinyJade29","That’s why I appreciate the shit he does for me and sticks by my side 😘❤️ even though he can be a dick &amp; pain in my dam fucking ass 🤦🏻‍♀️🙄","Rialto, CA","United States",-117.386642,34.0976985
"263","brebreezyx","I just really wish there was one morning I didn’t wake up in pain","Colton, CA","United States",-117.31987095,34.05734805
"330","hydock20181","Trying to shake this dam headache","Arnold, PA","United States",-79.761887,40.578265
"338","jeffallen1987","@CalThunderSnow @alisajoy331 Or more likely: d. They protect countless lives! Trained teachers aren’t bumbling idiots. All of your worse case scenarios could happen in any other social setting where guns are present! There are always trade-offs — no policy is perfect, but many more will be saved than hurt!","Logansport, IN","United States",-86.3521657,40.750348
"363","_bonitamica","I would wake up in pain on the big day. 😒","Rancho Calaveras, CA","United States",-120.852719,38.1258965
"389","NopainNogain423","#QOTD
Is this accurate? 

Ladies when men get sick it hurt us differently. We need y'all to stop being so insensitive and pour our juice cause it hurt when we pour it.","Columbus, OH","United States",-82.98577205,39.9946835
"414","YoungDream2x","@Leee_yah I’m hurt lmfaoo https://t.co/c2d1lvmQDW","Prairie View, TX","United States",-95.9901755,30.083158
"417","_marissa_villa","i cant bare this pain","San Antonio, TX","United States",-98.5406515,29.417501
"476","michaelt454","@MichaelBerrySho Dog pain woman is a basket case. Perpetually overwhelmed.","Texas, USA","United States",-100.0768885,31.1688935
"495","CityWingTsun","@Hungryghoast Migraines don’t respond to pain medicine because they are not triggered by pain centers. They are “vascular headaches” (outdated term, but close enough).","Queens, NY","United States",-73.8311875,40.67087955
"503","_marissa_villa","when you look at me in the eyes just know the pain is real","San Antonio, TX","United States",-98.5406515,29.417501
"528","MarcusDC64","What the hell is wrong with girls like this? Do they just intentionally say this just to trigger people. All these lil white girls are real bold until they get their feelings hurt and lives ruined, but they won’t have the last laugh . https://t.co/cGEJ1ZNcpj","Jeffersontown, KY","United States",-85.5576145,38.1947435
"560","_LilShaylaaa","Bitches hurt about some pictures bitch don’t be bitter just try to be better 😂🤷🏽‍♀️","Michigan, USA","United States",-86.27053925,45.00118
"568","kandybabee","Cramps fml","North Las Vegas, NV","United States",-115.133373,36.2491245
"582","ty_foe","sometimes I jus get high so I can’t feel pain","Jersey City, NJ","United States",-74.06666295,40.7180015
"585","Keakors_","It hurt I’m just glad i know now ..","Opa-Locka, FL","United States",-80.2602905,25.90415485
"602","chenkin","Learn how to foam roll to relieve pain after a long week. Remember to always roll with the muscle. #tip #foamroll #recovery #fitlife #fitspiration #kirbebetter https://t.co/9xzlfYJQ5l","Houston, TX","United States",-95.4464865,29.8384948
"613","JulieMcCleery","@StephenCurry30 these 2 r sad ur hurt &amp; cried all night bc they were coming 2 Ptland 2 cu play 4 bday. Can you RT? https://t.co/4IUCHjNsEM","Seattle, WA","United States",-122.3306024,47.6148172
"617","onebeansoup","@MichaelSilverV inclusion? my fee fees are hurt over here in British Carolina","San Francisco, CA","United States",-122.4359785,37.7706565
"648","Michael72054164","Being loyal to the wrong girls brings you pain https://t.co/5hdqaqtUoe","San Marcos, TX","United States",-97.9351917,29.8956065
"667","BmoreDoc","@ZackBergerMDPhD @nrookie I can certainly see the connection via epigenetics &amp; gene-environment interactions. The exposure to deep trauma/abuse in one generation leads to altered settings on genes that can hurt the health of future generations. I can see this happening more frequently in segregated areas.","Baltimore, MD","United States",-76.62048175,39.284713
"677","Sacredthomas","Try to look at everything that life throws at you as a lesson. When someone close to you is hurt are you suppose to freeze your life &amp; grieve or should you continue living positively? Food for thought.","Houston, TX","United States",-95.4464865,29.8384948
"683","laurajt11","No one deserves to live life addicted, in pain, so fatigued they can’t get out of bed, so sick they can’t eat, or withering away.  If it gets legalized no one is forcing this upon you! Just because you don’t need it in YOUR life doesn’t mean it should remain illegal.","Tulsa, OK","United States",-95.9136419,36.1093915
"706","A_Gee24","I’m still hurt from last night I’m not drinking no more","Raleigh, NC","United States",-78.657837,35.8439812
"709","btxbelle","At my follow up for my back procedure and I literally keep falling asleep in the chair 😂 the pain kept me up all night","Temple, TX","United States",-97.4060975,31.1104765
"722","mariaaa_c_","Yalllll I have cramps and I do not feel like dealing with customers today 😒","Salisbury, MD","United States",-75.600576,38.3604215
"733","fifer27jlo","This breakfast took my headache away 😩","Philadelphia, PA","United States",-75.117998,40.0048655
"747","a_mighty_wizard","@HelloKellyLink is that true 🤔 I've been thinking about getting a gaming chair for my back/shoulder pain but do they not work or something","Chicago, IL","United States",-87.732013,41.83358445
"760","AaronOsbey","If you don’t believe, it can hurt you..","New Orleans, LA","United States",-90.011008,29.982601
"765","AJonsonArt","""Don't"" by Isobel Anderson 

""There's always hope, There's always light, Just like there's always pain dragging at your side.""

#isobelanderson #music #logo #graphicdesign #art #design #typography #illustrator #vector #adobe #ajonsonart #artistsontwitter #designerontwitter https://t.co/rKVZ1odxdO","Fontana, CA","United States",-117.4626981,34.1081607
"768","NorthDaytona","Lmfaoo this nigga is hurt 😭 https://t.co/HsnCTeEC4j","Baltimore, MD","United States",-76.62048175,39.284713
"773","UrenaJerry","Lol I actually feel the pain of the backstabbing, dead flies dead flies","Greenacres, FL","United States",-80.1441757,26.6337105
"781","_ColeFleming","My balance was off, I was 90 percent sleepy 10 percent high, now I got a headache.","Charleston, WV","United States",-81.6337049,38.347486
"799","emilywhitaker42","Isn’t it crazy how someone tells you to speak your mind and when you do they get butt-hurt about it 🤔😴","Memphis, TN","United States",-89.922029,35.13352055
"803","Miiiigs_","T pain remix’s songs the best I swear","Augusta, GA","United States",-82.0631849,33.4407175
"811","aIexylo","I need to stop letting myself get my feelings hurt so easily dhsjkakak","Hemet, CA","United States",-116.9899205,33.7293783
"859","laurajt11","Or a cancer patient that doesn’t need to be addicted to pain medicines or have to take antiemetics? They will have a better quality of life, why would no one want that? If it were a loved one, how would they feel?","Tulsa, OK","United States",-95.9136419,36.1093915
"872","JannelChristy","Feeling all the pain today. Post surgery is a bitchhh. I just want besitos","Tamarac, FL","United States",-80.23063465,26.2047925
"883","JoyceAr25891680","@MatthiasBeier @indystar @PPFA These dumb asses care NOTHING about children. They vote to cut all programs that feed children, give them education,  and use their health care as a political tool to gain other right wing agendas such as guns, abortion and hideous tax reforms that hurt them.","Arizona, USA","United States",-111.93171085,34.16825365
"895","pallysdArtagnan","#John asks #Sara if #Laszlo hurt her she dosent deny it #TheAlienist @TheAlienistTNT https://t.co/cappBKNgqA","North Carolina, USA","United States",-79.86103375,35.1704985
"915","Gamblesface","@NexusFolf @CloudHusky Go ahead, you'd just hurt your little hand on my hard aluminum shell 🐚 😏","Minneapolis, MN","United States",-93.2620465,44.9706105
"984","Robopedal","Thanks to @mbslingshot for inventing the #slingshot I now can bench without shoulder pain. Today… https://t.co/AL7eCNToqm","Maryland Heights, MO","United States",-90.4540764,38.715947
"1001","justinmclachlan","So it's bad when a tooth cracks apart yet doesn't really hurt right... that's like root canal and expensive crown bad, right?","Los Angeles, CA","United States",-118.4119065,34.0207895
"1056","toshargrier","“you forget the pain when you see the payoff” 💯","Georgia, USA","United States",-83.1738665,32.6782075
