"","screen_name","text","place_full_name","country","lng","lat"
"6","OmgItsBerty","Me: Man why won't my sore throat go away it's been like 4 weeks already

Also me: *smokes hella weed everyday*","Fairmount, CO","United States",-105.18437505,39.793048
"30","colybs","my back has been killing me all night and my hip started acting up too and now I have a sore throat and my right nostril is stuffed 😭","Tampa, FL","United States",-82.44269375,27.9965945
"45","monikagarcia_23","I dont know if im getting sick again or what because every morning this week ive been waking up with a sore throat then in the agternoon im fine o dont get it","San Antonio, TX","United States",-98.5406515,29.417501
"52","ynitseD_","I can’t stop coughing my throat a lil sore plus I’m sneezing all over the place","Ellenton, FL","United States",-82.501283,27.54304365
"54","Maddi_Zellmer7","Wes is getting a sore throat from me😭 I just heard him cough and it sounded horrible. Poor boy.","Iowa, USA","United States",-93.38986395,41.9382285
"55","mikayloveee","I woke up with a sore throat /:","Bellflower, CA","United States",-118.12904175,33.8880815
"61","CurtisLT_SF","Catch 22: sick so I need to drink more water. My throat is sore as a motha so I don’t wanand drink water... my body is a magical thing.","San Francisco, CA","United States",-122.4359785,37.7706565
"72","raven_jayde","I’m really gonna take every kind of medicine bc I will NOT have a sore throat for tonight.","Louisiana, USA","United States",-91.4010085,30.937336
"73","Naataa1ie","sore throat and a cough does not feel good at all 😩","Texas, USA","United States",-100.0768885,31.1688935
"80","GretchenAnders1","When you wake up with a fever a sore throat and one eye swollen shut... fun","Colorado, USA","United States",-105.5508905,38.997936
"90","cheejenjen","My throat is killing me. Sore throat...more like saw throat. 😵","Columbus, OH","United States",-82.98577205,39.9946835
"92","tashastormborn","When everyone at work has been getting sick and you wake up with a sore throat https://t.co/ETSNLMljhg","Spokane, WA","United States",-117.434547,47.667438
"113","hollygenel","Day 7 of a sore throat has me regretting the time I had the option to get my tonsils out and said no.","Philadelphia, PA","United States",-75.117998,40.0048655
"115","bassdaddyecho","when u can’t sleep bc ur throat hurts and u can’t stop coughing do u smoke to help u sleep or not smoke to avoid making the sore throat and cough worse","Berkeley, CA","United States",-122.2795215,37.8758456
"122","_Cocaine_Caviar","Sore throat 😷","Normal, IL","United States",-88.9915295,40.5247748
"130","jords9599","Oh huzzah: my sore throat has turned into a gross hacking cough, even grosser sinus congestion, blocked up ears and yes, a sore throat.  

Poor @janenorr. I’m usually sick AFTER the #SECMBBT, not during it. 😡

And Mom’s funeral is next Saturday. 😡😡😡

Seriously, 2018? SUCKS","St Louis, MO","United States",-90.2478239,38.6537712
