statename,NUM,SCALE
alabama,25,Level 2
alaska,0,Level 0
arizona,36,Level 2
arkansas,11,Level 1
california,245,Level 9
colorado,57,Level 3
connecticut,39,Level 2
delaware,5,Level 0
district of columbia,45,Level 3
florida,101,Level 6
georgia,49,Level 3
hawaii,6,Level 1
idaho,4,Level 0
illinois,56,Level 3
indiana,31,Level 2
iowa,24,Level 2
kansas,28,Level 2
kentucky,13,Level 1
louisiana,38,Level 2
maine,3,Level 0
maryland,37,Level 2
massachusetts,35,Level 2
michigan,42,Level 3
minnesota,30,Level 2
mississippi,7,Level 1
missouri,70,Level 4
montana,3,Level 0
nebraska,1,Level 0
nevada,19,Level 1
new hampshire,3,Level 0
new jersey,41,Level 3
new mexico,13,Level 1
new york,174,Level 8
north carolina,49,Level 3
north dakota,100,Level 5
ohio,73,Level 4
oklahoma,45,Level 3
oregon,16,Level 1
pennsylvania,83,Level 5
rhode island,10,Level 1
south carolina,12,Level 1
south dakota,9,Level 1
tennessee,30,Level 2
texas,187,Level 8
utah,17,Level 1
vermont,2,Level 0
virginia,9,Level 1
washington,40,Level 2
west virginia,8,Level 1
wisconsin,20,Level 1
wyoming,1,Level 0
