"","x"
"1","AL        : 20  "
"2","AR        :  3  "
"3","AZ        : 38  "
"4","CA        :275  "
"5","CO        : 30  "
"6","CT        : 12  "
"7","Dallas    :  1  "
"8","DC        : 14  "
"9","FL        :104  "
"10","Fort Worth:  1  "
"11","GA        : 46  "
"12","Houston   :  1  "
"13","IA        : 11  "
"14","ID        : 11  "
"15","IL        : 87  "
"16","IN        : 33  "
"17","KS        :  8  "
"18","KY        : 16  "
"19","LA        : 27  "
"20","MA        : 45  "
"21","MD        : 41  "
"22","ME        :  3  "
"23","MI        : 36  "
"24","MN        : 20  "
"25","MO        : 26  "
"26","MS        :  9  "
"27","MT        :  1  "
"28","NC        : 23  "
"29","ND        :  4  "
"30","NE        : 10  "
"31","NH        : 11  "
"32","NJ        : 52  "
"33","NM        : 12  "
"34","NV        : 31  "
"35","NY        : 99  "
"36","OH        : 80  "
"37","OK        : 22  "
"38","OR        : 26  "
"39","PA        : 35  "
"40","RI        :  2  "
"41","SC        : 15  "
"42","SD        :  1  "
"43","TN        : 29  "
"44","TX        :187  "
"45","USA       :346  "
"46","UT        : 11  "
"47","VA        : 37  "
"48","VT        :  1  "
"49","WA        : 36  "
"50","WI        : 15  "
"51","WV        :  6  "
"52","WY        :  1  "
"53","NA's      : 12  "
